# model_1: cps=0.135,seas=1.066
# model_2: cps=0.129,seas=1.084
# model_3: cps=0.131,seas=1.009
# model_4: cps=0.114,seas=1.055
ds,exp_mean,model_1,model_2,model_3,model_4
2010-01-01,-0.021148063298695147,0.07900323138847654,0.053615652884467124,-0.053162025739242225,-0.16391636335545812
2010-02-01,0.5576940877757571,0.6085018909881263,0.5517368753299063,0.5579321137073219,0.5122908252623617
2010-03-01,0.2744971030862087,0.2840828081316644,0.27314092298009385,0.23707285865312855,0.3037067993585083
2010-04-01,0.9407768622110243,1.0453854057968464,0.8519196331953438,1.0151330448231022,0.8459104347042405
2010-05-01,1.0509424404998935,1.1804444128764366,1.0641167109387375,0.9256009298988808,1.029318956192892
2010-06-01,1.2499216871005319,1.1652277489146208,1.4817725466251552,1.3212771463101838,1.0099899588506638
2010-07-01,0.94014391508,1.0213556976808569,0.9435020528031401,0.9007732601978944,0.8921726817227196
2010-08-01,1.5022252485990297,1.4561436142018138,1.516579420453695,1.5702798735340942,1.4647218332337921
2010-09-01,1.2543251122633943,1.2541714213289161,1.229413766948742,1.2294485881415476,1.3054062462981726
2010-10-01,1.4678515271856005,1.6358074693653748,1.663129789778118,1.5049236120525329,1.0324254783186095
2010-11-01,1.9184704567002004,1.9569200538085774,1.8822140738146125,1.90814111488681,1.926574606790691
2010-12-01,1.971663250768967,1.9639154524708253,1.9477805577370582,1.9889331669664791,1.9861059880036436
2011-01-01,2.420979921510915,2.4278811557349016,2.4300231001614243,2.4583743212481153,2.365520288456139
2011-02-01,2.4648595899873853,2.475521595218595,2.4541276971301613,2.411464322243752,2.5182764922808687
2011-03-01,2.140164106866534,2.194843902019329,2.106382728724679,2.185038480374736,2.0718323596567103
2011-04-01,2.9432820829968147,2.9181861420600015,2.9845654022076396,2.881238935351954,2.9910923982961446
2011-05-01,3.260164109523771,3.2659131961460126,3.248173216474406,3.2920129483747367,3.233808857330681
2011-06-01,2.917512607101528,2.868110071040732,2.9225256762688367,2.95171620246051,2.92867292111662
2011-07-01,2.4473631669213876,2.4423521736417193,2.484195043708711,2.4724858867648827,2.389675994490922
2011-08-01,2.769782816786572,2.7265000340390113,2.8103111002724237,2.7726828378184116,2.770115291635907
2011-09-01,2.729770711985329,2.6874482288913804,2.773589398681885,2.732076392762524,2.7261211879996097
2011-10-01,2.653849997044267,2.6986547107649983,2.667518169511882,2.6378428163142953,2.6108869373501324
2011-11-01,2.708277543350816,2.6450499473492144,2.718196517277752,2.749362719486681,2.721553045783618
2011-12-01,2.949679243285831,2.8590332801098857,2.9620646938014144,2.976431507436132,3.0021263029796676
2012-01-01,2.748111788983214,2.7409871212649257,2.7243401541968915,2.7752250533820844,2.751964851066659
2012-02-01,2.7532769282685123,2.7525414722228376,2.7063889361653093,2.744610944128773,2.8100450510502517
2012-03-01,2.905497501207006,2.880074702022962,2.8737149345625053,2.9511047426636567,2.9169840942557705
2012-04-01,2.9959259373921845,2.9727459151396936,2.9779449272000633,2.9985448096259297,3.0348748636095024
2012-05-01,2.458931263792907,2.449859414237907,2.3857619049358316,2.519621717513795,2.4803434127233643
2012-06-01,2.0292864792020473,2.0451852200208744,1.987697957059293,2.042329688206726,2.0418187711426636
2012-07-01,1.5893949772987552,1.528552478474058,1.613807412569228,1.600795231889773,1.61445646016376
2012-08-01,1.7648507999251137,1.7361186570187392,1.758839936001344,1.7571201668001741,1.8077729003763752
2012-09-01,2.230740469972719,2.296753557663582,2.1905695942525734,2.23487405170823,2.2017877366166836
2012-10-01,2.4835462029341184,2.439585469421333,2.5027908816304425,2.478463291350959,2.5133029877313735
2012-11-01,2.3622787562917456,2.393339933528721,2.371556576363604,2.3120608131009357,2.3720305576143073
2012-12-01,2.0430151226804765,2.0095719179164657,2.0482336310976157,2.0559570460152035,2.0581599076871084
2013-01-01,2.1145086675302305,2.096417152601978,2.061481884846808,2.1589778840042078,2.1416422788631193
2013-02-01,2.324526195418327,2.247720729391805,2.3527921602908295,2.3724902888234114,2.3244877784112017
2013-03-01,1.6962832216667711,1.707111318375313,1.7032384989909168,1.72550778839196,1.6477272858678216
2013-04-01,1.6208250402143336,1.6155983043228481,1.6078092526529861,1.62037918296096,1.639630591007533
2013-05-01,1.2814569420367294,1.2957706601626313,1.270261343771331,1.285185205326698,1.2749660576388395
2013-06-01,1.4276642132598694,1.4018684889673718,1.4239896871000024,1.427377221918265,1.457338392906613
2013-07-01,1.2990373068232415,1.2936224462470527,1.3021991835650688,1.2619332566721297,1.3394514558098294
