# model_1: cps=0.135,seas=1.066
# model_2: cps=0.129,seas=1.084
# model_3: cps=0.131,seas=1.009
# model_4: cps=0.114,seas=1.055
ds,exp_mean,model_1,model_2,model_3,model_4
2006-01-01,2.848357667031965,2.795601753951887,2.840692044872526,2.8047159237565094,2.9588036452203634
2006-02-01,2.335620470925034,2.32816854155826,2.29450747092869,2.272399109169565,2.4522386808068757
2006-03-01,1.9205089129345392,1.96590716069216,1.8991403535715485,1.8718631024824428,1.9465329307905987
2006-04-01,2.731327826789102,2.693614698784792,2.6786404976485265,2.708226639445274,2.8509687396573247
2006-05-01,2.82518907586143,2.7984477453566603,2.8088419484379323,2.7967805979388967,2.8984954183942526
2006-06-01,2.645638853944636,2.6253158151747593,2.615393538749265,2.5919228540236636,2.7537870394051587
2006-07-01,2.7106563713896596,2.688975776569756,2.658468179580515,2.7090582497533506,2.786952041436047
2006-08-01,2.6531323321000553,2.5737518634167555,2.616923794997656,2.626354162506381,2.795913640168796
2006-09-01,1.7078105854238053,1.6634795141482084,1.7205802091335656,1.6592307291718238,1.788831079616798
2006-10-01,0.8169760165758094,0.7834434217950377,0.8111939985375054,0.7970605319802182,0.8766663753127655
2006-11-01,1.2040585305005127,1.18529350866724,1.2187464593841342,1.1702333067393962,1.242311814958179
2006-12-01,1.2738062436626425,1.255762196955466,1.2841129535655855,1.2594754043332026,1.2960633783921032
2007-01-01,0.8552394996051274,0.8446366597735917,0.8575700727744673,0.8483745655230028,0.8703797165342331
2007-02-01,1.251741637996925,1.220941512080885,1.2427979388806598,1.2503019333742786,1.2928010568771042
2007-03-01,1.725634950455617,1.694973193184269,1.7357199536641361,1.7199953245654256,1.7514640037434166
2007-04-01,1.87459268658436,1.8586848233603515,1.8806537868874877,1.8925432766607337,1.8664476642188297
2007-05-01,1.8211844939705222,1.8197434750027828,1.8152361366901815,1.8283220845916217,1.8213870847746767
2007-06-01,2.350097503749001,2.4131791380514542,2.371838883517351,2.2599474833325432,2.3562839936309605
2007-07-01,2.435704451255214,2.480940322111146,2.4191569153020565,2.4473978243105554,2.395548398681932
2007-08-01,1.8593967792401405,1.973439146641331,1.8251670055959668,1.8671257703715352,1.7733803833890347
2007-09-01,2.3396856305672262,2.3163238183319486,2.3629601776393754,2.3966698647448634,2.283344511751252
2007-10-01,2.7407764886389154,2.7673396958597465,2.7662973526534524,2.7531188139834577,2.6768759920427545
2007-11-01,3.231986294491634,3.25002059621424,3.2214216559839053,3.2339242661428025,3.2225844956144605
2007-12-01,3.5101535131907253,3.5069646830948376,3.530959721753298,3.456669502184723,3.546440809731998
2008-01-01,3.2113824927378904,3.1075979586129026,3.2587626359514736,3.2258126144841763,3.25447939330996
2008-02-01,4.144525536006834,4.146505522111222,4.108198412733667,4.148495277684905,4.175067277006612
2008-03-01,3.737788614295385,3.7622305358935035,3.7001319810006903,3.722179691606855,3.766800189108146
2008-04-01,4.336011127946335,4.3707624692389775,4.382400735568321,4.100473031258075,4.48977411856233
2008-05-01,4.568119117603697,4.500711478426523,4.635523962474442,4.59253180599032,4.544568804121624
2008-06-01,4.950315499128223,4.867387596937023,4.845085500785109,4.842230763205368,5.261418947240016
2008-07-01,4.6478629749468094,4.49094862225049,4.8573098475126635,4.476059715268963,4.779816956806139
2008-08-01,3.776731574487382,3.8352550821874796,3.7220350885530356,3.612885839112567,3.9416583038183357
2008-09-01,3.2549393671224167,3.3169282430882054,3.352435952258862,3.0818491258011305,3.2679125593979013
2008-10-01,2.4655644164455275,2.4673194887281653,2.5512403788502205,2.540196459319203,2.301091771368281
2008-11-01,0.8209371400924096,0.8023116958559129,0.8837936212225639,0.8210512735617126,0.7757815598625637
2008-12-01,-0.6157088811158948,-0.44789816176414377,-0.7445191838786629,-0.5134918999253522,-0.7590971018796933
2009-01-01,-0.7317004005226831,-0.6913999162772981,-0.7493544107670118,-0.8035277157543446,-0.6822227721035672
2009-02-01,-0.9490088319639519,-0.8029555626228895,-1.046677692182035,-0.937653276836083,-1.0092399078758527
2009-03-01,-1.6615160326210645,-1.6544789342214363,-1.6612608065689054,-1.6845659980530696,-1.6456605017376358
2009-04-01,-1.4880819241313328,-1.4938830575916118,-1.6000272148886299,-1.3850825007591911,-1.4730232580195715
2009-05-01,-1.58134496258286,-1.633333800841176,-1.5320550352746904,-1.5859008239019339,-1.5738607583307163
2009-06-01,-1.451192597923231,-1.3878802353394812,-1.6701144636778003,-1.1313247606775683,-1.6147712314915375
2009-07-01,-2.067628008070967,-1.8794672552663831,-2.1733373291032225,-2.046289494884862,-2.170202478507348
2009-08-01,-2.147191844508073,-2.122268766578011,-2.12533305745927,-2.145780490549809,-2.1953212525255767
2009-09-01,-2.592393025196132,-2.522792054077355,-2.596939333605395,-2.618289439736549,-2.6313703237352497
2009-10-01,-2.0323229460332537,-1.9928606680636873,-2.008489934371334,-2.0056595499137773,-2.1218607107671876
2009-11-01,-1.0899024085627786,-1.0004947575625085,-1.1962130165499882,-0.9546788217659419,-1.2082686456733471
2009-12-01,-0.4756588649162669,-0.32200148178693055,-0.33647713904355037,-0.5378276769449037,-0.705962656307876
2010-01-01,0.31433845232158963,0.46205979361094407,0.27347112933083295,0.2970785977610646,0.22403485515206256
2010-02-01,0.8620466659697879,1.0170584013120276,0.9651049914871948,0.5027518639949502,0.9625492409608398
2010-03-01,1.344045606692244,1.7175241724657582,0.9996847698034159,1.5126944390457737,1.1321894038671125
2010-04-01,1.837215117822469,2.157600668268561,1.8301640194820976,1.5519469631490175,1.799046120924487
2010-05-01,1.8254818942932611,1.4536259800270805,2.5577146965109243,2.1736239929941554,1.0464374433564245
2010-06-01,2.04694855836974,2.333302534091775,2.12225589899073,1.8426905394731357,1.8793946972753695
2010-07-01,2.556491585337323,2.4102249948287024,2.571023608123628,2.742325084041237,2.500016044284699
2010-08-01,1.8559907957363393,1.8622666624616038,1.7162576593517223,1.7823614524502602,2.0679591984831873
2010-09-01,2.1977403775520297,2.659830277296635,2.7762025083960182,2.282928360701103,0.97352167751162
2010-10-01,2.323868271971918,2.398629025140515,2.2050560580374317,2.257657207865016,2.435407551305069
2010-11-01,2.413948839044292,2.3759923461799417,2.4276310366687746,2.439679791339678,2.4122711449941754
2010-12-01,2.486093210612968,2.498059258070171,2.495215225669014,2.6043979580689083,2.340966904715227
2011-01-01,3.028728972810384,3.010486180927167,2.9184965835189622,2.802651791934487,3.383415687036557
2011-02-01,2.7949626996059185,2.8410378394280045,2.8539519591841795,2.7300068577661794,2.7542122333554637
2011-03-01,3.5409581888785544,3.684042236397975,3.6411379661401355,3.350437943747121,3.486886535920238
2011-04-01,4.055390790630992,4.123898595284896,4.203293530912006,4.197228866914962,3.6845089980586927
2011-05-01,3.1509057838978705,3.376860096638463,3.1810518347558325,2.847909909427557,3.1955757433638077
2011-06-01,3.099649317860837,3.230826445978643,3.0044271023971625,3.1274043241922502,3.0319402084667253
2011-07-01,2.860773217169386,3.0503859748944,2.5866645071087655,2.988429867732835,2.8153217819886276
2011-08-01,2.9070643266466782,3.173398323284882,2.7797822859924306,2.8892109679249085,2.7826228678279055
2011-09-01,2.6534891017459046,2.390294826700581,2.647217727752049,2.7639914428030004,2.8141906413261637
2011-10-01,2.833828090076077,3.2824429051509103,2.8690631128867885,2.425430708347576,2.750726359519648
2011-11-01,2.8902448774813463,3.1047597894045413,2.8371113364042664,2.79285825246159,2.8251387205529057
2011-12-01,2.6424018801164855,2.8737514652311695,2.8470483149854005,2.431810235782595,2.4146957293195648
2012-01-01,2.8096086337019837,2.905581683033086,2.8452040437533697,2.8508136000528346,2.635655388861033
2012-02-01,3.172310925070532,3.130747917628204,3.27911514610841,3.107800537525277,3.1717235023456123
2012-03-01,2.798961227801768,2.7734465906119343,2.7376851236600395,2.777902670431324,2.9080951597590143
2012-04-01,2.528453841571383,2.407332717047143,2.633047484826461,2.5132903842057974,2.5620311743943116
2012-05-01,1.7821235208088493,1.685402617262353,1.8093842840796448,1.864355574579239,1.770996528447382
2012-06-01,1.6083369672898966,1.6713496009829054,1.6028413220490467,1.4465296542746469,1.7155529410597712
2012-07-01,1.299252824918434,1.4369237815866605,1.4133336603610722,1.131241456008758,1.2172744175902652
2012-08-01,1.9182185709639474,2.0116995009160963,1.6306656561444495,2.00341929817991,2.034533941981234
2012-09-01,2.159782983977183,2.185899897518013,2.1399865443981483,2.1508140945222394,2.1625556119803804
2012-10-01,1.781939586221371,1.5646656119204851,1.8425886122312853,1.8471678888335887,1.8780450538655185
2012-11-01,1.7240835868734439,1.8859715516739062,1.6758590832349691,1.672135331456582,1.6631155788033753
2012-12-01,1.5946116899585576,1.8860223511291174,1.454690813427038,1.5318560834904664,1.5069169450092108
2013-01-01,1.8656378001491243,2.00480538493359,1.7301725459758783,1.6384772043550075,2.0961470142162106
2013-02-01,2.153613568911566,2.1671579991096834,2.362791892314453,1.7975202461685562,2.304335917794196
2013-03-01,1.6086159208348885,1.6973236809335237,1.7159339435780812,1.5827458131398444,1.4367583536100508
2013-04-01,1.444045057657038,1.707229195996046,1.436305419113797,1.5573578520862394,1.0833074652536343
2013-05-01,1.2181564770356041,1.2319233047689604,1.2613167797471903,1.2550479016233478,1.1253120567072994
2013-06-01,1.424785810659188,1.322499447906953,1.4262986940490592,1.3993984618782722,1.5549809708728688
2013-07-01,1.1797598751881138,1.308078172607324,1.0675038042444625,1.1940794589146133,1.1538127451186337
2013-08-01,1.2933130129908754,1.4760299574544575,1.0649965029282686,1.472163096283447,1.183914147232242
2013-09-01,1.6430565267017951,1.6687336369888417,1.4717892397982073,1.589501246950272,1.8586485812559186
2013-10-01,1.0310689689638886,0.9668855821231013,1.1105547818712047,0.8621123852997261,1.1961670101841921
2013-11-01,0.9800995007032596,0.8207604543953995,1.102528424659143,0.9478932335902535,1.051316800018359
2013-12-01,1.0938093025170026,1.0120755654440217,1.04434943965577,1.118253060838743,1.201044562656156
2014-01-01,1.4398022242104422,1.4261257393964222,1.3590579911105092,1.4638868848914726,1.5095404791024372
2014-02-01,1.4194806416529875,1.0967597279559635,1.5261899561761947,1.7940262138467684,1.268431100842303
2014-03-01,1.3687091278413215,0.967442711224451,1.6431607357250133,1.435514596645758,1.4291559185982727
2014-04-01,1.0457877941781386,1.029724410893861,0.9675216997176519,1.0435034863077082,1.1425987567567573
2014-05-01,1.3168701696646061,1.3986827449602082,1.6292597543177099,0.9189397044989143,1.308040774749629
2014-06-01,1.4443317529281403,1.0958912779744372,1.749166899995485,1.1975599504945125,1.7258543866144862
2014-07-01,1.1335824810502855,1.1576433878582275,1.1032628499802302,1.278426947839078,0.995911510575155
2014-08-01,1.1478147021742506,1.277402632829082,1.1853608019773265,0.877379658396606,1.2475820014203034
2014-09-01,1.1653438817307853,1.1453678574406787,1.2733442878256707,1.153477639715561,1.0896060764391144
2014-10-01,0.5744022876448649,0.4305201583544065,0.7841728904903178,0.5166590420304775,0.565794775748472
2014-11-01,0.2825547747133919,0.3878620221537066,0.265265618370055,0.10195573653266798,0.3708846337626319
2014-12-01,-0.1315814814252519,-0.016440848608169745,-0.24609779763594553,-0.10320540809648548,-0.16302815684761907
2015-01-01,-0.6737593056262442,-0.8227415529901672,-0.6412518139497223,-0.6661259185579702,-0.5669214728642515
2015-02-01,-0.8614038220674903,-0.8357137070416174,-0.7424325783236441,-0.9934751463147009,-0.8746745622174936
2015-03-01,-0.9770559247026238,-1.2647237008399146,-0.8571867166691058,-0.9006438152430825,-0.8865160693484508
2015-04-01,-1.13545896166459,-0.9146483814138691,-1.0555575003497548,-1.0024016660951691,-1.5732168272061118
2015-05-01,-0.8201075069465116,-1.0259120215228474,-0.7511648712524206,-0.8064017931656942,-0.7025855596288046
2015-06-01,-0.5435454267394109,-0.5851754710526098,-0.6161943990922207,-0.49980135331123954,-0.4784491299112794
2015-07-01,-0.7446101838968273,-0.7357875981522586,-1.0399490802920948,-0.691528366443622,-0.5146244772652189
2015-08-01,-0.799920302495607,-0.8704730505782114,-0.7923730095324588,-0.8026889688459935,-0.7320122694672975
2015-09-01,-1.0360151851253416,-1.238692128760139,-1.0074133542507537,-0.9467422647753008,-0.9489447019051491
2015-10-01,-0.8756300103952074,-0.9900144558706678,-0.36106639510548355,-0.9158834667184195,-1.235981318643332
2015-11-01,-0.7416991635642057,-0.7533209034239263,-0.7616980839149718,-0.8800956173177052,-0.5736345457334107
2015-12-01,-0.8316412383897882,-0.49701415289371376,-0.7884788857999023,-0.7353574640931893,-1.2957182576244568
2016-01-01,-0.5636503798979152,-0.48729226431310124,-0.48582657827569165,-0.6518460387589133,-0.6295403891687119
2016-02-01,-0.46487776477333476,-0.3050845384543681,-0.6626158631117551,-0.45142948784101833,-0.44301094456641366
2016-03-01,-0.28958133000897834,-0.2586273954492473,-0.597943012662105,-0.23293554869525934,-0.07198631767404962
2016-04-01,-0.12617334162158755,-0.116616508345043,0.05753321950687962,-0.27299289422335526,-0.17152695838057852
2016-05-01,-0.34855855623531,-0.4247060877069231,-0.3894346980683885,-0.20736473064528482,-0.37290428985017776
