ds,y,exp_mean,adaptive,mich
2002-05-01,1.2408347433727984,2.3287488688854263,3.5630841121495394,3.2
2002-06-01,1.0692177827799743,2.1293980916158843,3.193960511033689,3.0
2002-07-01,1.465614430665152,2.160412639456419,2.7214823393167498,2.6
2002-08-01,1.747463359639223,2.116337537870187,2.7214823393167498,2.7
2002-09-01,1.516002245929271,2.119396445533427,2.5921658986175045,2.8
2002-10-01,2.0270270270270174,2.292757343462769,2.127659574468077,1.0
2002-11-01,2.2535211267605604,2.106540704512411,1.894374282433997,0.4
2002-12-01,2.4802705749718212,2.296821773757692,1.603665521191311,1.8
2003-01-01,2.757456387169399,2.889902161932501,1.1958997722095743,1.9
2003-02-01,3.146067415730336,3.397457546176824,1.1363636363636465,2.1
2003-03-01,3.025210084033625,3.875620283438057,1.3628620102214661,2.7
2003-04-01,2.175125488008911,2.536840483594917,1.643990929705219,2.8
2003-05-01,1.8941504178273005,2.4764213176374628,1.2408347433727984,2.7
2003-06-01,1.948775055679297,2.6694945020074523,1.0692177827799743,2.7
2003-07-01,2.055555555555544,2.663270049803597,1.465614430665152,2.6
2003-08-01,2.216066481994461,2.8975296437604072,1.747463359639223,2.6
2003-09-01,2.378318584070782,3.088016521313143,1.516002245929271,2.5
2003-10-01,2.041942604856528,2.831952933714981,2.0270270270270174,2.5
2003-11-01,1.9283746556473913,2.968013051555179,2.2535211267605604,2.4
2003-12-01,2.0352035203520247,2.8822474974078642,2.4802705749718212,2.5
2004-01-01,2.026286966046009,2.3992037610658343,2.757456387169399,2.5
2004-02-01,1.688453159041381,2.1360195908597945,3.146067415730336,2.7
2004-03-01,1.7400761283306032,1.5132006680045984,3.025210084033625,3.1
2004-04-01,2.2925764192139875,1.9414007991295166,2.175125488008911,2.4
2004-05-01,2.8977583378895444,2.313057572540304,1.8941504178273005,2.0
2004-06-01,3.1676679410158393,2.152164070974957,1.948775055679297,2.1
2004-07-01,2.939575394665228,2.377530063027422,2.055555555555544,1.7
2004-08-01,2.5474254742547275,2.0942153484941897,2.216066481994461,2.5
2004-09-01,2.5391680172879516,2.2169805928825457,2.378318584070782,2.8
2004-10-01,3.1909140075716547,2.5723242935288195,2.041942604856528,2.6
2004-11-01,3.621621621621607,2.7910858825805,1.9283746556473913,2.7
2004-12-01,3.3423180592991875,2.400880570161761,2.0352035203520247,2.6
2005-01-01,2.8448738593666034,2.3007299033047124,2.026286966046009,2.7
2005-02-01,3.0530262453133394,2.4588711652739352,1.688453159041381,2.6
2005-03-01,3.2068412613575736,2.4117659288706297,1.7400761283306032,2.9
2005-04-01,3.3617929562433257,2.6925963939230066,2.2925764192139875,3.2
2005-05-01,2.869287991498415,2.1819074188455665,2.8977583378895444,3.3
2005-06-01,2.541026998411855,1.9689571834278679,3.1676679410158393,3.3
2005-07-01,3.067160232681121,2.2412652036604817,2.939575394665228,3.0
2005-08-01,3.6469344608879517,2.5720489783797893,2.5474254742547275,2.8
2005-09-01,4.741833508956805,3.6959635257125,2.5391680172879516,2.8
2005-10-01,4.350104821802936,3.6814134622365615,3.1909140075716547,3.1
2005-11-01,3.3385498174230532,2.6206243671154854,3.621621621621607,2.8
2005-12-01,3.3385498174230532,2.4608814936943775,3.3423180592991875,3.0
2006-01-01,4.018789144050117,2.848357667031965,2.8448738593666034,2.9
2006-02-01,3.63825363825363,2.335620470925034,3.0530262453133394,2.9
2006-03-01,3.4179181771103018,1.9205089129345392,3.2068412613575736,3.2
2006-04-01,3.613835828600931,2.731327826789102,3.3617929562433257,3.3
2006-05-01,3.9772727272727293,2.82518907586143,2.869287991498415,3.2
2006-06-01,4.1817243159525175,2.645638853944636,2.541026998411855,3.2
2006-07-01,4.104669061056954,2.7106563713896596,3.067160232681121,3.0
2006-08-01,3.926568077511483,2.6531323321000553,3.6469344608879517,3.1
2006-09-01,2.012072434607637,1.7078105854238053,4.741833508956805,4.3
2006-10-01,1.4063284781516971,0.8169760165758094,4.350104821802936,4.6
2006-11-01,1.9687026754164672,1.2040585305005127,3.3385498174230532,3.3
2006-12-01,2.5239777889954462,1.2738062436626425,3.3385498174230532,3.1
