ds,y,exp_mean,adaptive
2011-03-01,4.299103504482482,8.612681225293802,3.9280042350449795
2011-04-01,3.6928959549205054,8.347424471242094,4.753873721935276
2011-05-01,3.1253120319520766,8.177123645289942,5.299127326253816
2011-06-01,3.090618123624722,7.407239378491593,5.19781144781144
2011-07-01,2.1094927172275346,7.083334452508748,5.522577909688353
2011-08-01,1.4168606416354423,4.879907472706601,5.6339533889245175
2011-09-01,2.889771598808344,6.114593401513359,5.655230301122649
2011-10-01,2.856292770008917,5.6336378021163585,5.23953658282017
2011-11-01,2.840459224069658,5.666928514940016,4.791537025513382
2011-12-01,2.176696542893719,5.265764727529405,5.157949249093741
2012-01-01,2.0590868397493134,5.502557846410058,4.915466499686927
2012-02-01,1.6735558019961738,5.098714992844133,4.147417051658975
2012-03-01,1.3479195155303936,5.379456264474131,4.299103504482482
2012-04-01,1.5235322658903483,5.280191084123192,3.6928959549205054
2012-05-01,0.9391944229279581,4.928306993058713,3.1253120319520766
2012-06-01,0.9508101290385262,4.295387522168333,3.090618123624722
2012-07-01,0.9050664043285694,3.926195802172584,2.1094927172275346
2012-08-01,1.1475900608721723,3.691423018834759,1.4168606416354423
2012-09-01,0.2798957629572385,3.7864671397514083,2.889771598808344
2012-10-01,0.9256580850448337,3.5352945566577567,2.856292770008917
2012-11-01,0.4138196516215942,3.281687084703471,2.840459224069658
2012-12-01,0.31810294968188657,2.4659967447039635,2.176696542893719
2013-01-01,0.04873294346978696,3.058114197246872,2.0590868397493134
2013-02-01,0.13882002974714425,3.1655737278356724,1.6735558019961738
2013-03-01,-0.24094063222821482,3.1236911224017416,1.3479195155303936
2013-04-01,-0.592620913783215,2.8610505889607696,1.5235322658903483
2013-05-01,-0.2877697841726645,2.4259124585643335,0.9391944229279581
2013-06-01,-0.2498798654492984,2.2228995537061307,0.9508101290385262
2013-07-01,-0.46797309154722466,1.3458990577476548,0.9050664043285694
2013-08-01,-0.9668508287292821,0.6063839431978865,1.1475900608721723
2013-09-01,-1.010587102983651,0.4774254880321382,0.2798957629572385
2013-10-01,-1.8916595012897663,-0.49733846222560885,0.9256580850448337
2013-11-01,-2.8560475368986094,-1.6664691250305648,0.4138196516215942
2013-12-01,-1.8160853271836142,-1.8728591753156358,0.31810294968188657
2014-01-01,-1.402825133950325,-1.622704659079986,0.04873294346978696
2014-02-01,-0.8614714328151196,-1.392538781887933,0.13882002974714425
2014-03-01,-1.4877789585547307,-0.9751872798775929,-0.24094063222821482
2014-04-01,-1.586538461538467,-0.6133192947162546,-0.592620913783215
2014-05-01,-2.135642135642135,-0.8189022300074421,-0.2877697841726645
2014-06-01,-1.4644956161479983,-0.4189213387426068,-0.2498798654492984
2014-07-01,-0.8423939661083346,-0.32985114912273494,-0.46797309154722466
2014-08-01,-0.2390914524805665,-0.14890653895460504,-0.9668508287292821
2014-09-01,-1.0986874088478316,-0.2114007110079571,-1.010587102983651
2014-10-01,-1.8015386113545584,-0.797717146313478,-1.8916595012897663
2014-11-01,-1.223362273086026,-0.6793155134176855,-2.8560475368986094
2014-12-01,-2.5347426110784887,-1.4885350832768536,-1.8160853271836142
2015-01-01,-2.7566446003359224,-1.7487151457193086,-1.402825133950325
2015-02-01,-1.907710747103486,-1.1279728950436358,-0.8614714328151196
2015-03-01,-1.8632931254290552,-1.7708515753299692,-1.4877789585547307
2015-04-01,-1.807523204689787,-1.0465338438485707,-1.586538461538467
2015-05-01,-1.425341590484619,-0.47204272567648775,-2.135642135642135
2015-06-01,-1.0951403148528271,-0.987439253796125,-1.4644956161479983
2015-07-01,-1.2545688037143288,-1.0761028660714997,-0.8423939661083346
2015-08-01,-0.38945476333133167,-0.21769796804354016,-0.2390914524805665
2015-09-01,-0.7668108533228524,-0.48143941644655436,-1.0986874088478316
2015-10-01,-0.08925029750099789,-0.16279514141039575,-1.8015386113545584
2015-11-01,-0.10986815821014684,0.7656411962799017,-1.223362273086026
2015-12-01,0.3916055828898424,0.7265962234279407,-2.5347426110784887
2016-01-01,-0.1219264377159135,0.7166074502170707,-2.7566446003359224
2016-02-01,0.07127583749109156,1.5340033767765116,-1.907710747103486
2016-03-01,-0.6695313280703385,1.0713695031519062,-1.8632931254290552
2016-04-01,-0.42786069651742364,0.9216054208235208,-1.807523204689787
2016-05-01,-0.1994415636218605,0.7237817920068419,-1.425341590484619
2016-06-01,0.22738507167572308,1.0946247471442814,-1.0951403148528271
2016-07-01,0.2000800320128171,1.2554407164214152,-1.2545688037143288
2016-08-01,0.43107769423560427,1.5017436950113519,-0.38945476333133167
2016-09-01,-0.059441252229053276,1.4233365959952806,-0.7668108533228524
2016-10-01,0.5756823821339907,0.8460664618885093,-0.08925029750099789
2016-11-01,-0.15998400159985549,0.8863266178635627,-0.10986815821014684
2016-12-01,0.29005801160231215,1.2470597612110292,0.3916055828898424
2017-01-01,1.5157680569684695,1.9589128861018033,-0.1219264377159135
2017-02-01,1.4346764346764296,2.5299047883366153,0.07127583749109156
2017-03-01,1.670020120724347,2.5626855100145525,-0.6695313280703385
2017-04-01,1.6488458079344515,2.252769319110845,-0.42786069651742364
2017-05-01,1.4788169464428513,2.283397642885393,-0.1994415636218605
2017-06-01,0.9074768198855887,2.46917662400167,0.22738507167572308
2017-07-01,0.9185303514376963,2.3451266031139553,0.2000800320128171
2017-08-01,0.5889399081652869,2.52583232506367,0.43107769423560427
2017-09-01,1.0408406026962913,2.722498884031374,-0.059441252229053276
2017-10-01,0.463831047073926,3.0477706368345268,0.5756823821339907
2017-11-01,1.0515773660490835,3.0708570897868115,-0.15998400159985549
2017-12-01,0.9673880522589107,3.492287993734446,0.29005801160231215
2018-01-01,0.21044192804888784,3.2737143077806072,1.5157680569684695
2018-02-01,0.40124385595345924,3.004529517041574,1.4346764346764296
2018-03-01,0.1979022362952776,2.7072137421602465,1.670020120724347
2018-04-01,0.5013763271726424,2.5066120939339305,1.6488458079344515
2018-05-01,0.758172508861743,2.1471793049913286,1.4788169464428513
2018-06-01,0.967741935483879,2.309592383764042,0.9074768198855887
2018-07-01,0.7815591610605521,1.76983810344439,0.9185303514376963
2018-08-01,0.8831993648903413,2.3288144726358646,0.5889399081652869
2018-09-01,1.1282252526243486,2.4155624017779926,1.0408406026962913
2018-10-01,1.7583497053045294,2.0236587449838446,0.463831047073926
2018-11-01,1.0505450941526107,2.1191421514647293,1.0515773660490835
2018-12-01,0.6321612011062738,1.9915897769330029,0.9673880522589107
2019-01-01,0.5400000000000071,2.007904107074331,0.21044192804888784
2019-02-01,0.7693076231391816,2.6689943515765546,0.40124385595345924
2019-03-01,1.0468101915860117,2.554918486719266,0.1979022362952776
2019-04-01,1.076005086569487,2.4469314543832663,0.5013763271726424
2019-05-01,0.5863383172090453,2.452378602484135,0.758172508861743
2019-06-01,0.24203698325104828,1.9711095781714418,0.967741935483879
2019-07-01,0.44173947187591267,1.7509954563932404,0.7815591610605521
2019-08-01,0.07869368483179873,1.2790393164565343,0.8831993648903413
2019-09-01,0.21342646488164974,0.8422836024420314,1.1282252526243486
2019-10-01,-0.3475238922675983,0.9668764221164012,1.7583497053045294
2019-11-01,0.5394272263632871,1.0178019672017888,1.0505450941526107
2019-12-01,1.05025520219868,0.88533922768346,0.6321612011062738
2020-01-01,1.0841456136860828,1.6284647261708578,0.5400000000000071
2020-02-01,0.40650406504063596,1.5357880989344381,0.7693076231391816
2020-03-01,0.18569194683346613,1.2621885162255337,1.0468101915860117
2020-04-01,-0.9097067647343415,0.5461487183377509,1.076005086569487
2020-05-01,-0.6800738365879799,0.09108971020900093,0.5863383172090453
2020-06-01,-1.9123044234112485,-0.7635538012230507,0.24203698325104828
2020-07-01,-2.10125097732603,-0.06806691451186728,0.44173947187591267
2020-08-01,-2.250835462944756,-0.40702819442300253,0.07869368483179873
2020-09-01,-2.3136495643756083,-0.6270362345933581,0.21342646488164974
2020-10-01,-2.034292356873013,-0.5336241653970352,-0.3475238922675983
2020-11-01,-2.146132084674668,-0.9226782900552326,0.5394272263632871
2020-12-01,-2.389509470616813,-1.1930169958291388,1.05025520219868
2021-01-01,-2.391026271770136,-0.958152155612136,1.0841456136860828
2021-02-01,-1.856423422533815,-0.6158823145916301,0.40650406504063596
2021-03-01,-2.0290703346015015,-1.2026380173180287,0.18569194683346613
2021-04-01,-1.0743236644203513,-1.101474822563792,-0.9097067647343415
2021-05-01,-1.2227330529198888,-1.4412895723089776,-0.6800738365879799
2021-06-01,0.6006301693580074,-1.0737732200767212,-1.9123044234112485
2021-07-01,0.6588799041629123,-0.6557174756705605,-2.10125097732603
2021-08-01,1.2368024132729971,-0.34421612510035027,-2.250835462944756
2021-09-01,1.9026855613913485,0.9287387809349105,-2.3136495643756083
2021-10-01,2.8379313754573365,1.687826990040716,-2.034292356873013
2021-11-01,4.027514704416291,2.757756431690107,-2.146132084674668
2021-12-01,4.3586426510100695,4.90233002546094,-2.389509470616813
2022-01-01,5.493951612903225,5.333901005378837,-2.391026271770136
2022-02-01,6.278297615454265,6.737902929242529,-1.856423422533815
2022-03-01,7.965747286667324,8.949798723180427,-2.0290703346015015
2022-04-01,9.14206733142462,9.406237300973109,-1.0743236644203513
